user_id,group,converted,revenue,signup_date
1,control,0,0,2024-01-15
2,control,1,30,2024-01-13
3,control,0,0,2024-01-22
4,control,0,0,2024-01-16
5,control,0,0,2024-01-02
6,control,0,0,2024-01-26
7,control,0,0,2024-01-14
8,control,0,0,2024-01-27
9,control,0,0,2024-01-06
10,control,0,0,2024-01-02
11,control,0,0,2024-01-08
12,control,1,30,2024-01-04
13,control,0,0,2024-01-21
14,control,0,0,2024-01-24
15,control,0,0,2024-01-14
16,control,0,0,2024-01-11
17,control,0,0,2024-01-24
18,control,0,0,2024-01-28
19,control,0,0,2024-01-14
20,control,0,0,2024-01-12
21,control,0,0,2024-01-16
22,control,0,0,2024-01-06
23,control,0,0,2024-01-20
24,control,0,0,2024-01-01
25,control,0,0,2024-01-12
26,control,0,0,2024-01-07
27,control,0,0,2024-01-08
28,control,0,0,2024-01-09
29,control,0,0,2024-01-02
30,control,0,0,2024-01-17
31,control,0,0,2024-01-20
32,control,0,0,2024-01-13
33,control,0,0,2024-01-05
34,control,1,30,2024-01-10
35,control,1,30,2024-01-12
36,control,0,0,2024-01-17
37,control,0,0,2024-01-21
38,control,0,0,2024-01-06
39,control,0,0,2024-01-03
40,control,0,0,2024-01-28
41,control,0,0,2024-01-15
42,control,0,0,2024-01-07
43,control,0,0,2024-01-30
44,control,1,30,2024-01-06
45,control,0,0,2024-01-04
46,control,0,0,2024-01-19
47,control,0,0,2024-01-05
48,control,0,0,2024-01-03
49,control,0,0,2024-01-26
50,control,0,0,2024-01-25
51,control,1,30,2024-01-09
52,control,0,0,2024-01-06
53,control,1,30,2024-01-13
54,control,0,0,2024-01-27
55,control,0,0,2024-01-22
56,control,1,30,2024-01-28
57,control,0,0,2024-01-30
58,control,0,0,2024-01-20
59,control,0,0,2024-01-04
60,control,0,0,2024-01-02
61,control,0,0,2024-01-26
62,control,0,0,2024-01-04
63,control,0,0,2024-01-08
64,control,0,0,2024-01-13
65,control,0,0,2024-01-10
66,control,0,0,2024-01-18
67,control,0,0,2024-01-09
68,control,0,0,2024-01-30
69,control,0,0,2024-01-01
70,control,1,30,2024-01-13
71,control,0,0,2024-01-18
72,control,0,0,2024-01-15
73,control,0,0,2024-01-02
74,control,0,0,2024-01-11
75,control,0,0,2024-01-29
76,control,0,0,2024-01-14
77,control,0,0,2024-01-22
78,control,0,0,2024-01-15
79,control,0,0,2024-01-14
80,control,0,0,2024-01-16
81,control,0,0,2024-01-23
82,control,0,0,2024-01-29
83,control,0,0,2024-01-15
84,control,0,0,2024-01-19
85,control,0,0,2024-01-27
86,control,0,0,2024-01-09
87,control,0,0,2024-01-05
88,control,0,0,2024-01-05
89,control,0,0,2024-01-11
90,control,0,0,2024-01-28
91,control,0,0,2024-01-20
92,control,0,0,2024-01-25
93,control,0,0,2024-01-24
94,control,0,0,2024-01-28
95,control,0,0,2024-01-04
96,control,0,0,2024-01-20
97,control,0,0,2024-01-18
98,control,0,0,2024-01-25
99,control,0,0,2024-01-03
100,control,0,0,2024-01-04
101,control,0,0,2024-01-14
102,control,0,0,2024-01-07
103,control,0,0,2024-01-26
104,control,0,0,2024-01-08
105,control,1,30,2024-01-24
106,control,0,0,2024-01-16
107,control,0,0,2024-01-20
108,control,0,0,2024-01-15
109,control,0,0,2024-01-07
110,control,0,0,2024-01-26
111,control,0,0,2024-01-17
112,control,0,0,2024-01-22
113,control,1,30,2024-01-22
114,control,0,0,2024-01-22
115,control,0,0,2024-01-12
116,control,0,0,2024-01-18
117,control,0,0,2024-01-24
118,control,0,0,2024-01-14
119,control,0,0,2024-01-15
120,control,0,0,2024-01-15
121,control,0,0,2024-01-05
122,control,0,0,2024-01-16
123,control,0,0,2024-01-05
124,control,0,0,2024-01-02
125,control,0,0,2024-01-20
126,control,0,0,2024-01-28
127,control,0,0,2024-01-25
128,control,0,0,2024-01-09
129,control,0,0,2024-01-22
130,control,0,0,2024-01-27
131,control,0,0,2024-01-09
132,control,0,0,2024-01-04
133,control,0,0,2024-01-15
134,control,0,0,2024-01-11
135,control,1,30,2024-01-01
136,control,0,0,2024-01-18
137,control,0,0,2024-01-29
138,control,0,0,2024-01-01
139,control,0,0,2024-01-08
140,control,1,30,2024-01-25
141,control,1,30,2024-01-16
142,control,0,0,2024-01-26
143,control,0,0,2024-01-28
144,control,0,0,2024-01-22
145,control,0,0,2024-01-18
146,control,0,0,2024-01-22
147,control,0,0,2024-01-09
148,control,0,0,2024-01-12
149,control,0,0,2024-01-19
150,control,0,0,2024-01-25
151,control,1,30,2024-01-18
152,control,0,0,2024-01-27
153,control,0,0,2024-01-05
154,control,0,0,2024-01-27
155,control,1,30,2024-01-02
156,control,0,0,2024-01-07
157,control,0,0,2024-01-27
158,control,0,0,2024-01-10
159,control,0,0,2024-01-15
160,control,0,0,2024-01-25
161,control,0,0,2024-01-07
162,control,0,0,2024-01-28
163,control,0,0,2024-01-05
164,control,0,0,2024-01-15
165,control,0,0,2024-01-20
166,control,0,0,2024-01-28
167,control,0,0,2024-01-20
168,control,0,0,2024-01-15
169,control,0,0,2024-01-10
170,control,0,0,2024-01-24
171,control,0,0,2024-01-26
172,control,0,0,2024-01-29
173,control,0,0,2024-01-26
174,control,0,0,2024-01-14
175,control,0,0,2024-01-26
176,control,0,0,2024-01-26
177,control,0,0,2024-01-10
178,control,0,0,2024-01-17
179,control,1,30,2024-01-21
180,control,0,0,2024-01-14
181,control,0,0,2024-01-02
182,control,0,0,2024-01-16
183,control,1,30,2024-01-13
184,control,0,0,2024-01-27
185,control,0,0,2024-01-09
186,control,0,0,2024-01-07
187,control,0,0,2024-01-16
188,control,0,0,2024-01-10
189,control,0,0,2024-01-24
190,control,0,0,2024-01-22
191,control,0,0,2024-01-09
192,control,0,0,2024-01-22
193,control,1,30,2024-01-23
194,control,0,0,2024-01-07
195,control,0,0,2024-01-16
196,control,0,0,2024-01-09
197,control,0,0,2024-01-27
198,control,0,0,2024-01-24
